,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,15,"N Wadhwa, J Pradhan, A Sonwane, SP Sahu…",Core: Resolving code quality issues using llms,2024,… Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3643762,https://scholar.google.com/scholar?cites=1485950963796388119&as_sdt=2005&sciodt=2007&hl=en,46,2025-04-10 10:45:08,,10.1145/3643762,,,,,,,15,15.0,3,5,1,… by the Ranker LLM on the Python benchmark CQP? RQ2: How many of the CORE-generated revisions are also accepted by human reviewers on the Python benchmark CQP US? …,https://dl.acm.org/doi/pdf/10.1145/3643762,https://scholar.google.com/scholar?q=related:F6m7VoconxQJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
44,14,"DN Palacio, A Velasco, D Rodriguez-Cardenas…",Evaluating and explaining large language models for code using syntactic structures,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2308.03873,https://scholar.google.com/scholar?cites=11406639828447593142&as_sdt=2005&sciodt=2007&hl=en,48,2025-04-10 10:45:08,,,,,,,,,14,7.0,4,4,2,"… a reliable conceptual mapping of LLM predictions to PL concepts, … We refer to SE-specific sequencebased data as a software … explainability techniques into future LLM benchmarks. …",https://arxiv.org/pdf/2308.03873,https://scholar.google.com/scholar?q=related:tgJxL32GTJ4J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
45,12,"F Bozyigit, T Bardakci, A Khalilipour…",Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,2024,Software and Systems …,Springer,https://link.springer.com/article/10.1007/s10270-024-01176-y,https://scholar.google.com/scholar?cites=9974439219328568805&as_sdt=2005&sciodt=2007&hl=en,49,2025-04-10 10:45:08,,10.1007/s10270-024-01176-y,,,,,,,12,12.0,3,4,1,"… The LLM-based tool that we use in this paper is from the OpenAI organization … software engineering literature for creating benchmarks [39, 40]. According to Sim et al. [39], a benchmark …",https://www.researchgate.net/profile/Michel-Chaudron/publication/380429067_Generating_domain_models_from_natural_language_text_using_NLP_a_benchmark_dataset_and_experimental_comparison_of_tools/links/676b27b2fb9aff6eaaeae30a/Generating-domain-models-from-natural-language-text-using-NLP-a-benchmark-dataset-and-experimental-comparison-of-tools.pdf,https://scholar.google.com/scholar?q=related:5c3NhZ9TbIoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
46,320,"CS Xia, Y Wei, L Zhang",Automated program repair in the era of large pre-trained language models,2023,… Conference on Software Engineering …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10172803/,https://scholar.google.com/scholar?cites=8153170138860620380&as_sdt=2005&sciodt=2007&hl=en,51,2025-04-10 10:45:08,,,,,,,,,320,160.0,107,3,2,"… Lastly, we show that LLM-based APR can be further … For evaluation, we use 5 APR benchmarks spanning across 3 … To this end, we filter these benchmarks to find bugs that fit our …",https://par.nsf.gov/servlets/purl/10400284,https://scholar.google.com/scholar?q=related:XAocQAvhJXEJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
47,26,"P Di, J Li, H Yu, W Jiang, W Cai, Y Cao…",Codefuse-13b: A pretrained multi-lingual code large language model,2024,… Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3639477.3639719,https://scholar.google.com/scholar?cites=7184682763294405990&as_sdt=2005&sciodt=2007&hl=en,52,2025-04-10 10:45:08,,10.1145/3639477.3639719,,,,,,,26,26.0,4,7,1,"… in the full lifecycle of software engineering. However, the … -sourced pre-trained code LLM 2. It is specifically designed for … benchmark suite, HumanEval-x, which we discuss below. …",https://arxiv.org/pdf/2310.06266,https://scholar.google.com/scholar?q=related:ZvUIOugetWMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
48,284,"T Ahmed, P Devanbu",Few-shot training llms for project-specific code-summarization,2022,… conference on automated software engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3551349.3559555,https://scholar.google.com/scholar?cites=12231370978633158725&as_sdt=2005&sciodt=2007&hl=en,53,2025-04-10 10:45:08,,10.1145/3551349.3559555,,,,,,,284,94.67,142,2,3,"… [8] introduce a large language model, InCoder, and try zero-… is recommended by CodeXGLUE benchmark. This is not clear … -shot training with LLM models can benefit other SE tasks also…",https://dl.acm.org/doi/pdf/10.1145/3551349.3559555,https://scholar.google.com/scholar?q=related:RZBzuRmPvqkJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
49,25,"W Yan, H Liu, Y Wang, Y Li, Q Chen, W Wang…",Codescope: An execution-based multilingual multitask multidimensional benchmark for evaluating llms on code understanding and generation,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2311.08588,https://scholar.google.com/scholar?cites=17932231446573767270&as_sdt=2005&sciodt=2007&hl=en,54,2025-04-10 10:45:08,,,,,,,,,25,12.5,4,7,2,… To bridge these gaps between existing benchmarks and … evaluation benchmark for comprehensively measuring LLM … The code review generation task is a sequence generation task …,https://arxiv.org/pdf/2311.08588,https://scholar.google.com/scholar?q=related:Zloe230V3PgJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
50,59,"L Sun, Y Han, Z Zhao, D Ma, Z Shen, B Chen…",Scieval: A multi-level large language model evaluation benchmark for scientific research,2024,Proceedings of the …,ojs.aaai.org,https://ojs.aaai.org/index.php/AAAI/article/view/29872,https://scholar.google.com/scholar?cites=1937361590696333345&as_sdt=2005&sciodt=2007&hl=en,56,2025-04-10 10:45:08,,,,,,,,,59,59.0,8,7,1,"… benchmarks have been proposed to evaluate the ability of LLMs for scientific research. However, current benchmarks … multi-disciplinary evaluation benchmark to address these issues. …",https://ojs.aaai.org/index.php/AAAI/article/view/29872/31521,https://scholar.google.com/scholar?q=related:IdDwJhrk4hoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
51,39,"M Bhatt, S Chennabasappa, Y Li, C Nikolaidis…",Cyberseceval 2: A wide-ranging cybersecurity evaluation suite for large language models,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2404.13161,https://scholar.google.com/scholar?cites=9465966637546378518&as_sdt=2005&sciodt=2007&hl=en,57,2025-04-10 10:45:08,,,,,,,,,39,39.0,8,5,1,"… We present CYBERSECEVAL 2, a novel benchmark to quantify LLM security risks and … -utility tradeoff: conditioning an LLM to reject unsafe prompts can cause the LLM to falsely reject …",https://arxiv.org/pdf/2404.13161,https://scholar.google.com/scholar?q=related:FpWmBoHeXYMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
52,8,"A Zou, W Yu, H Zhang, K Ma, D Cai, Z Zhang…",Docbench: A benchmark for evaluating llm-based document reading systems,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2407.10701,https://scholar.google.com/scholar?cites=980331756508772927&as_sdt=2005&sciodt=2007&hl=en,58,2025-04-10 10:45:08,,,,,,,,,8,8.0,1,7,1,"… a new benchmark designed to evaluate LLM-based document reading systems. Our benchmark … We evaluate both proprietary LLM-based systems accessible via web interfaces or APIs, …",https://arxiv.org/pdf/2407.10701,https://scholar.google.com/scholar?q=related:P3q93InWmg0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
53,129,"TR McIntosh, T Susnjak, N Arachchilage, T Liu…",Inadequacies of large language model benchmarks in the era of generative artificial intelligence,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2402.09880,https://scholar.google.com/scholar?cites=13420361128380553611&as_sdt=2005&sciodt=2007&hl=en,59,2025-04-10 10:45:08,,,,,,,,,129,129.0,26,5,1,"… benchmarks, we embarked on a study to critically assess 23 state-of-the-art LLM benchmarks… , and technology, under the pillars of benchmark functionality and integrity. Our research …",https://arxiv.org/pdf/2402.09880,https://scholar.google.com/scholar?q=related:i1mVllezProJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
54,3,"G Ou, M Liu, Y Chen, X Peng, Z Zheng",Repository-level code translation benchmark targeting rust,2024,arXiv preprint arXiv:2411.13990,arxiv.org,https://arxiv.org/abs/2411.13990,https://scholar.google.com/scholar?cites=6456378776543443396&as_sdt=2005&sciodt=2007&hl=en,60,2025-04-10 10:45:08,,,,,,,,,3,3.0,1,5,1,"… assess how our benchmark presents greater challenges compared to existing benchmarks, … Superclue: A comprehensive chinese large language model benchmark. arXiv preprint arXiv…",https://arxiv.org/pdf/2411.13990,https://scholar.google.com/scholar?q=related:xDk-N0qqmVkJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
55,7,"Q Zhang, W Sun, C Fang, B Yu, H Li, M Yan…",Exploring automated assertion generation via large language models,2025,… Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3699598,https://scholar.google.com/scholar?cites=3446421001434616148&as_sdt=2005&sciodt=2007&hl=en,61,2025-04-10 10:45:08,,10.1145/3699598,,,,,,,7,7.0,1,7,1,"… art AG approaches on two benchmarks in terms of prediction … in a popular fault-detection benchmark Defects4J. Results: (1… Ease, a retrieval-enhanced LLM-based approach by combing …",,https://scholar.google.com/scholar?q=related:VNH0EKQl1C8J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
56,16,"F Tambon, A Moradi-Dakhel, A Nikanjam…",Bugs in large language models generated code: An empirical study,2025,… Software Engineering,Springer,https://link.springer.com/article/10.1007/s10664-025-10614-4,https://scholar.google.com/scholar?cites=6076548212120243826&as_sdt=2005&sciodt=2007&hl=en,62,2025-04-10 10:45:08,,10.1007/s10664-025-10614-4,,,,,,,16,16.0,4,4,1,"… LLM-generated code on the CoderEval benchmark, we look into what bug patterns are present, for each task in the benchmark… different tasks in the CoderEval benchmark. To do so, we …",https://arxiv.org/pdf/2403.08937,https://scholar.google.com/scholar?q=related:ck72a2c8VFQJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
58,22,"N Tihanyi, MA Ferrag, R Jain, T Bisztray…",CyberMetric: a benchmark dataset based on retrieval-augmented generation for evaluating LLMs in cybersecurity knowledge,2024,… Conference on Cyber …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10679494/,https://scholar.google.com/scholar?cites=1471167318667497934&as_sdt=2005&sciodt=2007&hl=en,64,2025-04-10 10:45:08,,,,,,,,,22,22.0,4,5,1,"… -10000, which are multiple-choice Q&A benchmark datasets comprising 80, 500, 2000, and … We have evaluated and compared 25 state-of-the-art LLM models on the CyberMetric …",https://arxiv.org/pdf/2402.07688,https://scholar.google.com/scholar?q=related:zhFXuuGiahQJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
59,3,"J Hauser, D Kondor, J Reddish…",Large Language Models' Expert-level Global History Knowledge Benchmark (HiST-LLM),2024,Advances in …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper_files/paper/2024/hash/38cc5cba8e513547b96bc326e25610dc-Abstract-Datasets_and_Benchmarks_Track.html,https://scholar.google.com/scholar?cites=15136324898650294155&as_sdt=2005&sciodt=2007&hl=en,65,2025-04-10 10:45:08,,,,,,,,,3,3.0,1,4,1,"… central issue for benchmarks, we believe it is less critical for our benchmark, which primarily … In our evaluation, we exclusively utilized APIs that prevent the leakage of our benchmark to …",https://proceedings.neurips.cc/paper_files/paper/2024/file/38cc5cba8e513547b96bc326e25610dc-Paper-Datasets_and_Benchmarks_Track.pdf,https://scholar.google.com/scholar?q=related:i4fztEwHD9IJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
60,47,"Y Liu, AR Fabbri, J Chen, Y Zhao, S Han, S Joty…",Benchmarking generation and evaluation capabilities of large language models for instruction controllable summarization,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2311.09184,https://scholar.google.com/scholar?cites=366525225260007440&as_sdt=2005&sciodt=2007&hl=en,66,2025-04-10 10:45:08,,,,,,,,,47,23.5,7,7,2,"… After selecting an article, we write one or more summary requirements with different focuses, … Consequently, we benchmark recent LLM-based evaluation methods, exploring various …",https://arxiv.org/pdf/2311.09184,https://scholar.google.com/scholar?q=related:EMDXHMAoFgUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
61,4,"J He, J Shi, TY Zhuo, C Treude, J Sun, Z Xing…",From code to courtroom: Llms as the new software judges,2025,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2503.02246,https://scholar.google.com/scholar?cites=17843010166074917065&as_sdt=2005&sciodt=2007&hl=en,67,2025-04-10 10:45:08,,,,,,,,,4,4.0,1,7,1,… We provide a literature review of existing SE studies on LLM-as-a-… developments of LLM-as-a-Judge in software engineering. While … in the benchmarks to reflect evolving SE …,https://arxiv.org/pdf/2503.02246,https://scholar.google.com/scholar?q=related:yUCUsDUbn_cJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
62,102,"TY Zhuo, MC Vu, J Chim, H Hu, W Yu…",Bigcodebench: Benchmarking code generation with diverse function calls and complex instructions,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2406.15877,https://scholar.google.com/scholar?cites=14941649521314275585&as_sdt=2005&sciodt=2007&hl=en,68,2025-04-10 10:45:08,,,,,,,,,102,102.0,17,6,1,"… from software engineering development to general-purpose reasoning. While current … Pre-Evaluation To enhance the benchmark quality, we perform a dry run to pre-evaluate an LLM …",https://arxiv.org/pdf/2406.15877,https://scholar.google.com/scholar?q=related:AaFSTBNnW88J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
63,35,"W Tao, Y Zhou, Y Wang, W Zhang…",Magis: Llm-based multi-agent framework for github issue resolution,2024,Advances in Neural …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5d1f02132ef51602adf07000ca5b6138-Abstract-Conference.html,https://scholar.google.com/scholar?cites=6092117101437278700&as_sdt=2005&sciodt=2007&hl=en,69,2025-04-10 10:45:08,,,,,,,,,35,35.0,7,5,1,"… In experiments, we employ the SWE-bench benchmark to compare MAGIS with popular LLMs, including GPT-3.5, GPT-4, and Claude2. MAGIS can resolve 13.94% GitHub issues, …",https://proceedings.neurips.cc/paper_files/paper/2024/file/5d1f02132ef51602adf07000ca5b6138-Paper-Conference.pdf,https://scholar.google.com/scholar?q=related:7FlA8TmMi1QJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
64,67,"V Liventsev, A Grishina, A Härmä…",Fully autonomous programming with large language models,2023,Proceedings of the Genetic …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3583131.3590481,https://scholar.google.com/scholar?cites=12485541876045269135&as_sdt=2005&sciodt=2007&hl=en,70,2025-04-10 10:45:08,,10.1145/3583131.3590481,,,,,,,67,33.5,17,4,2,… We use OpenAI Codex as the LLM and Program Synthesis Benchmark 2 as a database of problem descriptions and tests for evaluation. The resulting framework outperforms both …,https://dl.acm.org/doi/pdf/10.1145/3583131.3590481,https://scholar.google.com/scholar?q=related:j0jxXS-ORa0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
65,17,"Y Virk, P Devanbu, T Ahmed",Enhancing trust in llm-generated code summaries with calibrated confidence scores,2024,arXiv preprint arXiv:2404.19318,arxiv.org,https://arxiv.org/abs/2404.19318,https://scholar.google.com/scholar?cites=10438934558092111693&as_sdt=2005&sciodt=2007&hl=en,71,2025-04-10 10:45:08,,,,,,,,,17,17.0,6,3,1,… It’s worth noting here that LLMs are per se trained to auto-regressively re-generate the … Benchmark for evaluating the calibration of the confidence values generated from LLM per-…,https://arxiv.org/pdf/2404.19318,https://scholar.google.com/scholar?q=related:TS-hOKyL3pAJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
66,9,"D Sobania, A Geiger, J Callan, A Brownlee…",Evaluating explanations for software patches generated by large language models,2023,… Software Engineering,Springer,https://link.springer.com/chapter/10.1007/978-3-031-48796-5_12,https://scholar.google.com/scholar?cites=4707852217956605377&as_sdt=2005&sciodt=2007&hl=en,72,2025-04-10 10:45:08,,10.1007/978-3-031-48796-5_12,,,,,,,9,4.5,2,5,2,"… and include other GI tools, LLM models, and benchmarks. We made the source code along with the relevant scripts and all of the LLM’s patch explanations available online. Footnote 1 …",https://drive.google.com/file/d/197cTxzF00Ij7xbymSJ176iieUkQ5NrFd/view,https://scholar.google.com/scholar?q=related:wZ1WIqamVUEJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
67,68,"M Fu, C Tantithamthavorn",GPT2SP: A transformer-based agile story point estimation approach,2022,… on Software Engineering,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9732669/,https://scholar.google.com/scholar?cites=13489826667807275960&as_sdt=2005&sciodt=2007&hl=en,73,2025-04-10 10:45:08,,,,,,,,,68,22.67,34,2,3,"… Our GPT2SP employs a GPT-2 pre-trained language model with a GPT-2 Transformer-… 2 architecture used in our approach substantially improves Deep-SE by 6%-47%, highlighting the …",https://drive.google.com/file/d/12cPZTt9CfE6pLIJ_G5yerlGp63fJ4Fii/view,https://scholar.google.com/scholar?q=related:uHs-2OF9NbsJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
68,12,"D Huang, JM Zhang, Q Bu, X Xie, J Chen…",Bias testing and mitigation in llm-based code generation,2024,… on Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3724117,https://scholar.google.com/scholar?cites=15835499880721310654&as_sdt=2005&sciodt=2007&hl=en,74,2025-04-10 10:45:08,,10.1145/3724117,,,,,,,12,12.0,2,6,1,"… benchmarks to incorporate a variety of programming languages. The universe of code generation benchmarks … Beyond mere code creation, there are benchmarks like APIBench [65], …",https://dl.acm.org/doi/pdf/10.1145/3724117,https://scholar.google.com/scholar?q=related:vmMizz3_wtsJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
70,0,"N Jiang, Q Li, L Tan, T Zhang",Collu-Bench: A Benchmark for Predicting Language Model Hallucinations in Code,2024,arXiv preprint arXiv:2410.09997,arxiv.org,https://arxiv.org/abs/2410.09997,,77,2025-04-10 10:45:08,,,,,,,,,0,0.0,0,4,1,"… , a benchmark to evaluate and analyze code hallucinations in LLMs. Collu-Bench targets two important LLM … We design an automated pipeline and build the benchmark on five datasets …",https://arxiv.org/pdf/2410.09997,https://scholar.google.com/scholar?q=related:BA23Iplfwv0J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
71,23,"D Huang, Y Qing, W Shang, H Cui…",Effibench: Benchmarking the efficiency of automatically generated code,2024,Advances in Neural …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper_files/paper/2024/hash/15807b6e09d691fe5e96cdecde6d7b80-Abstract-Datasets_and_Benchmarks_Track.html,https://scholar.google.com/scholar?cites=7074371986090479959&as_sdt=2005&sciodt=2007&hl=en,78,2025-04-10 10:45:08,,,,,,,,,23,23.0,5,5,1,"… APIs or completing broader software engineering tasks. Recent studies [… To bridge this gap, our benchmark EFFIBENCH is … is to provide a benchmark that evaluates the efficiency of LLM-…",https://proceedings.neurips.cc/paper_files/paper/2024/file/15807b6e09d691fe5e96cdecde6d7b80-Paper-Datasets_and_Benchmarks_Track.pdf,https://scholar.google.com/scholar?q=related:V9Hl99Y3LWIJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
73,26,"J Maynez, P Agrawal, S Gehrmann",Benchmarking large language model capabilities for conditional generation,2023,arXiv preprint arXiv:2306.16793,arxiv.org,https://arxiv.org/abs/2306.16793,https://scholar.google.com/scholar?cites=10717420948164970757&as_sdt=2005&sciodt=2007&hl=en,80,2025-04-10 10:45:08,,,,,,,,,26,13.0,9,3,2,… senting the first large-scale benchmark of PLMs in conditional NLG … be used for future benchmarks during the development of … are free to generate long text sequences. Typical issues …,https://arxiv.org/pdf/2306.16793,https://scholar.google.com/scholar?q=related:BQm0q5Htu5QJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
74,92,"AZH Yang, C Le Goues, R Martins…",Large language models for test-free fault localization,2024,… on Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3597503.3623342,https://scholar.google.com/scholar?cites=1750591441606749929&as_sdt=2005&sciodt=2007&hl=en,81,2025-04-10 10:45:08,,10.1145/3597503.3623342,,,,,,,92,92.0,23,4,1,… We show in this paper that an FL-specific model pretrained on a large-scale LLM … benchmark dataset with 395 bugs from 6 Java projects [21]. We use V1.2.0 for most of our benchmarks …,https://dl.acm.org/doi/pdf/10.1145/3597503.3623342,https://scholar.google.com/scholar?q=related:6S7PH6RZSxgJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
75,44,"S Kang, G An, S Yoo",A quantitative and qualitative evaluation of LLM-based explainable fault localization,2024,Proceedings of the ACM on Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3660771,https://scholar.google.com/scholar?cites=5446432232406958263&as_sdt=2005&sciodt=2007&hl=en,82,2025-04-10 10:45:08,,10.1145/3660771,,,,,,,44,44.0,15,3,1,"… Given a prompt asking for the LLM to nd the answer using the available functions, the LLM … by 19.7% on the Defects4J benchmark and 166.7% on the BugsInPy benchmark; using GPT-4…",https://dl.acm.org/doi/pdf/10.1145/3660771,https://scholar.google.com/scholar?q=related:t8DaSUKdlUsJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
